save,physical_time_s,physical_time_us,metric,units,C1_value,C2_value,C2_minus_C1,relative_difference,classification,note
1,5e-08,0.049999999999999996,Y_H2O_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_CO_integral,kg/m-depth,0.0,1.8921712683457482e-19,1.8921712683457482e-19,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_CO_max_valid_gas,kg/m3,0.0,3.03468e-09,3.03468e-09,nan,small-to-moderate,
1,5e-08,0.049999999999999996,rhoY_CO_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,Y_CO_max_valid_gas,mass fraction,0.0,4.734336754703942e-10,4.734336754703942e-10,nan,small-to-moderate,
1,5e-08,0.049999999999999996,Y_CO_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_CO2_integral,kg/m-depth,0.0,1.2677461429670423e-20,1.2677461429670423e-20,nan,roundoff-level,
1,5e-08,0.049999999999999996,rhoY_CO2_max_valid_gas,kg/m3,0.0,1.9644e-10,1.9644e-10,nan,small-to-moderate,
1,5e-08,0.049999999999999996,rhoY_CO2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
1,5e-08,0.049999999999999996,Y_CO2_max_valid_gas,mass fraction,0.0,3.064616737494702e-11,3.064616737494702e-11,nan,small-to-moderate,
1,5e-08,0.049999999999999996,Y_CO2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,runtime_t_step_at_save,unavailable: run_time.inf time/dt are precision-limited to zero,nan,nan,nan,nan,unavailable,per-save timestep/dt unavailable from precision-limited run_time.inf
2,1e-07,0.09999999999999999,runtime_dt_s_at_save,unavailable: run_time.inf time/dt are precision-limited to zero,nan,nan,nan,nan,unavailable,per-save timestep/dt unavailable from precision-limited run_time.inf
2,1e-07,0.09999999999999999,valid_gas_Tmax,K,2049.6989165120426,2049.086796799149,-0.6121197128936728,-0.0002986388429844674,small-to-moderate,
2,1e-07,0.09999999999999999,valid_gas_T999,K,1925.9026084587015,1925.3752231760589,-0.5273852826426264,-0.00027383798138406,small-to-moderate,
2,1e-07,0.09999999999999999,valid_gas_T95,K,1269.1067491828453,1269.1067491828453,0.0,0.0,roundoff-level,
2,1e-07,0.09999999999999999,valid_gas_Tmean,K,754.9758470534103,754.9696827224358,-0.0061643309745704755,-8.164937989247202e-06,small,
2,1e-07,0.09999999999999999,valid_gas_cell_count,cells,41047.0,41047.0,0.0,0.0,roundoff-level,
2,1e-07,0.09999999999999999,vaporized_fuel_mass_proxy_vapor_alpha_rho_integral,kg/m-depth proxy,1.3467596642501659e-08,1.3462358451925744e-08,-5.238190575915275e-12,-0.0003889476879181511,small-to-moderate,
2,1e-07,0.09999999999999999,liquid_alpha_area,m2,7.867854819284907e-09,7.867854819284907e-09,0.0,0.0,roundoff-level,
2,1e-07,0.09999999999999999,equivalent_diameter_m,m,0.00010008828047353331,0.00010008828047353331,0.0,0.0,roundoff-level,
2,1e-07,0.09999999999999999,D2_m2,m2,1.0017663888148669e-08,1.0017663888148669e-08,0.0,0.0,roundoff-level,
2,1e-07,0.09999999999999999,liquid_centroid_x,m,0.0005024970572371298,0.0005024978380155272,7.807783973393448e-10,1.5537969548165796e-06,small,
2,1e-07,0.09999999999999999,liquid_centroid_y,m,0.00030232558139530456,0.00030232558139530916,4.607859233063394e-18,1.5241380540134997e-14,roundoff-level,
2,1e-07,0.09999999999999999,liquid_streamwise_extent_m,m,9.813084112000002e-05,9.813084112000002e-05,0.0,0.0,roundoff-level,
2,1e-07,0.09999999999999999,liquid_cross_stream_extent_m,m,9.302325581e-05,9.302325581e-05,0.0,0.0,roundoff-level,
2,1e-07,0.09999999999999999,negative_rhoY_count,count,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,negative_Y_count,count,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,Y_above_one_count,count,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,sumY_violation_count,count,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,max_abs_sumY_minus_1,dimensionless,3.219646771412954e-14,5.362377208939506e-14,2.142730437526552e-14,0.6655172413793103,roundoff-level,
2,1e-07,0.09999999999999999,gas_species_mass_relative_error,dimensionless,-1.2925193707407633e-15,-1.7772232798757236e-15,-4.847039091349602e-16,0.37500707541208356,roundoff-level,
2,1e-07,0.09999999999999999,run_time_seconds_final,"s, run-level",6288.0,8581.0,2293.0,0.36466284987277353,meaningful,
2,1e-07,0.09999999999999999,cost_seconds_per_timestep,"s/step, run-level",1.9823455233291298,2.7052332912988653,0.7228877679697354,0.36466284987277364,meaningful,
2,1e-07,0.09999999999999999,rhoY_NC12H26_integral,kg/m-depth,6.0256413995099e-09,5.928083352048943e-09,-9.755804746095672e-11,-0.0161904834676839,meaningful,
2,1e-07,0.09999999999999999,rhoY_NC12H26_max_valid_gas,kg/m3,19.76309038623731,19.73019133186004,-0.03289905437726759,-0.0016646715536036787,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_NC12H26_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,Y_NC12H26_max_valid_gas,mass fraction,0.7292846364432495,0.7281490695615813,-0.0011355668816681597,-0.0015570969480535955,small-to-moderate,
2,1e-07,0.09999999999999999,Y_NC12H26_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_O2_integral,kg/m-depth,3.040021719804681e-07,3.040015969443658e-07,-5.750361023123835e-13,-1.8915526115034766e-06,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_O2_max_valid_gas,kg/m3,2.39671250946898,2.39899991893325,0.002287409464269974,0.0009543945947763158,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_O2_min_valid_gas,kg/m3,0.1674796440965,0.16747943097008,-2.1312642001225512e-07,-1.2725511877100355e-06,small,
2,1e-07,0.09999999999999999,Y_O2_max_valid_gas,mass fraction,0.23290922330299593,0.23290922330640842,3.4124925107903437e-12,1.4651598860689897e-11,roundoff-level,
